,Subject_ID,ROI,mean,var,std,CV
0,OAS1_0001,3rd_ventricle,2836.69560507408,626.0004609523204,25.020001218071922,0.008820121966318106
1,OAS1_0001,4th_ventricle,2680.201863069298,3907.2797560898484,62.50823750586677,0.02332221254196277
2,OAS1_0001,accumbens_area,761.374211101622,337.2898444525925,18.365452470674185,0.02412145329180701
3,OAS1_0001,amygdala,2562.5528690799497,4025.4777726791253,63.446652966717835,0.024759158623524326
4,OAS1_0001,brain_stem,17644.86234852932,7908.943412785764,88.93224056991797,0.005040120960610971
5,OAS1_0001,caudate,6472.752669309025,842.9157825380122,29.033011943958073,0.004485419639409362
6,OAS1_0001,cerebellum,117964.8112232135,231898.49864566847,481.55840626622694,0.004082220801888286
7,OAS1_0001,cingulate,17206.765620911552,9923.809784991123,99.61832052886217,0.0057894855270066
8,OAS1_0001,csf,1400.7261784373236,204.81708398857828,14.311431933548029,0.010217151755894311
9,OAS1_0001,frontal,128929.66316302253,232974.0456937733,482.67385022784623,0.0037436989935941967
10,OAS1_0001,hippocampus,6731.546156087345,9759.414932455526,98.7897511508938,0.01467564046360406
11,OAS1_0001,inf_lat_vent,2821.3463558582685,5023.0235417505,70.87329216108492,0.025120379854789182
12,OAS1_0001,insula,10381.494719612576,1739.1951852067293,41.70365913450197,0.00401711509381361
13,OAS1_0001,lateral_ventricle,53121.69353602875,6506.959639373218,80.66572778679442,0.0015185082104373134
14,OAS1_0001,occipital,37791.48081924468,82068.5123892054,286.4760241088343,0.007580439239177713
15,OAS1_0001,pallidum,3345.364579086336,811.3368333480868,28.483975027163726,0.008514460637633427
16,OAS1_0001,parietal,87641.64052241511,30244.193409668744,173.90857773459234,0.001984314495917197
17,OAS1_0001,putamen,7658.675108720607,740.9141099605164,27.219737507193496,0.003554105262436259
18,OAS1_0001,temporal,86082.53410206939,403399.9873205118,635.1377703463335,0.007378242020538578
19,OAS1_0001,thalamus,12297.235371737966,4039.517218577899,63.55719643421899,0.005168413428947523
20,OAS1_0001,total_cerebral_white_matter,318101.0134983155,163202.07807500547,403.98276952737166,0.0012699826545177323
21,OAS1_0001,ventraldc,6465.206669694548,1308.021448347168,36.16657916291183,0.00559403295372467
22,OAS1_0002,3rd_ventricle,746.9682118376202,71.873727572652,8.47783743490355,0.011349662944889155
23,OAS1_0002,4th_ventricle,1251.6926860513995,262.308222780839,16.195932291190864,0.012939224197500659
24,OAS1_0002,accumbens_area,991.4414493475564,96.4329538132058,9.820028198187915,0.009904798921459495
25,OAS1_0002,amygdala,2869.880853378656,1484.1027670219207,38.52405439490917,0.01342357274154972
26,OAS1_0002,brain_stem,17737.729593784763,3110.1294298756598,55.76853440673925,0.0031440627230150324
